0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:03:02 +0800] "GET /Project/Standard/Catch_Standard_JSP_for_advanceSearch.jsp?type%5B%5D=%E8%87%AA%E7%84%B6&type%5B%5D=%E7%A4%BE%E6%9C%83&type%5B%5D=%E7%A7%91%E6%8A%80&type1%5B%5D=%E9%87%8D%E7%AD%96%E7%95%A5&type1%5B%5D=1-2%E4%BA%BA HTTP/1.1" 200 3806
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:17 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:19 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 200 10048
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:19 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:19 +0800] "GET /Project/Standard/Content/validationEngine.jquery.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:19 +0800] "GET /Project/Standard/Scripts/jquery.validate.inline.js HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:19 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:19 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:19 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:19 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:19 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:18:24 +0800] "GET /Project/Standard/Catch_Standard_JSP_for_advanceSearch.jsp HTTP/1.1" 500 5049
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:26:43 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 200 9478
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:26:44 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 200 9394
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/Standard/Standard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/Standard/image/%E5%A2%A8%E7%B6%A0%E8%89%B2%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /image/back1.jpg HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/Standard/js/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/image/%E6%B7%B1%E7%B4%85%E8%83%8C%E6%99%AF.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/Standard/image/%E6%9C%A8%E8%B3%AA%E8%83%8C%E6%99%AF1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:43 +0800] "GET /Project/Standard/image/%E9%AA%B0%E5%AD%901.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:53 +0800] "GET /Project/Standard/Advanced_Search2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:53 +0800] "GET /Project/Standard/Standard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2020:13:28:53 +0800] "GET /Project/Standard/image/%E7%AE%AD%E9%A0%AD.png HTTP/1.1" 304 -
